Reference, Value, Footprint, Datasheet
"U2","TPS61032","Badge_Parts:PowerPAD16",""
"C5","2.2u","Capacitors_SMD:C_0805_HandSoldering",""
"C6","100u","Capacitors_SMD:C_1206_HandSoldering",""
"R4","10k","Resistors_SMD:R_0805_HandSoldering",""
"L1","6.8uH","Choke_SMD:Choke_SMD_12x12mm_h4.5mm",""
"C4","10u","Capacitors_SMD:C_0805_HandSoldering",""
"R3","10k","Resistors_SMD:R_0805_HandSoldering",""
"U1","MIC5305","TO_SOT_Packages_SMD:SOT-23-5",""
"P1","BATT","Connectors_JST:JST_PH_S2B-PH-SM4-TB_02x2.00mm_Angled",""
"C2","0.1u","Capacitors_SMD:C_0805_HandSoldering",""
"C1","1u","Capacitors_SMD:C_0805_HandSoldering",""
"C3","1u","Capacitors_SMD:C_0805_HandSoldering",""
"R1","1.8M","Resistors_SMD:R_0805_HandSoldering",""
"R2","330k","Resistors_SMD:R_0805_HandSoldering",""
"U3","ATSAMD21E18A-AU","Housings_QFP:TQFP-32_7x7mm_Pitch0.8mm",""
"FB1","FB300","Resistors_SMD:R_0805_HandSoldering",""
"C7","0.1u","Capacitors_SMD:C_0805_HandSoldering",""
"C9","0.1u","Capacitors_SMD:C_0805_HandSoldering",""
"C10","0.1u","Capacitors_SMD:C_0805_HandSoldering",""
"R6","10k","Resistors_SMD:R_0805_HandSoldering",""
"C11","10u","Capacitors_SMD:C_0805_HandSoldering",""
"C8","0.1u","Capacitors_SMD:C_0805_HandSoldering",""
"R5","330","Resistors_SMD:R_0805_HandSoldering",""
"SW1","RESET","Buttons_Switches_SMD:SW_SPST_EVQP0",""
"P3","CONN_CORTEX","Pin_Headers:Pin_Header_Straight_2x05_Pitch1.27mm_SMD",""
"P2","USB_OTG","Connectors:USB_Micro-B",""
"U4","74AHCT125","SMD_Packages:SOIC-14_N",""
"W2","3v3","Measurement_Points:Measurement_Point_Round-SMD-Pad_Big",""
"W3","5v","Measurement_Points:Measurement_Point_Round-SMD-Pad_Big",""
"W1","GND","Measurement_Points:Measurement_Point_Round-SMD-Pad_Big",""
"R7","10k","Resistors_SMD:R_0805_HandSoldering",""
"P4","UART","Pin_Headers:Pin_Header_Straight_1x03_Pitch2.54mm_SMD_Pin1Left",""
"Y1","32.768k","Crystals:Crystal_SMD_G8",""
"C13","22pF","Capacitors_SMD:C_0805_HandSoldering",""
"C12","22pF","Capacitors_SMD:C_0805_HandSoldering",""
"C14","100u","Capacitors_SMD:C_1206_HandSoldering",""
"SW2","PWR","Buttons_Switches_SMD:SW_SPST_EVQP0",""
"SW3","MODE","Buttons_Switches_SMD:SW_SPST_EVQP0",""
"SW4","BRIGHT","Buttons_Switches_SMD:SW_SPST_EVQP0",""
"U38","APA102","Badge_Parts:APA102",""
"U44","APA102","Badge_Parts:APA102",""
"U50","APA102","Badge_Parts:APA102",""
"U56","APA102","Badge_Parts:APA102",""
"U62","APA102","Badge_Parts:APA102",""
"U8","APA102","Badge_Parts:APA102",""
"U14","APA102","Badge_Parts:APA102",""
"U20","APA102","Badge_Parts:APA102",""
"U26","APA102","Badge_Parts:APA102",""
"U32","APA102","Badge_Parts:APA102",""
"U29","APA102","Badge_Parts:APA102",""
"U23","APA102","Badge_Parts:APA102",""
"U17","APA102","Badge_Parts:APA102",""
"U11","APA102","Badge_Parts:APA102",""
"U5","APA102","Badge_Parts:APA102",""
"U59","APA102","Badge_Parts:APA102",""
"U53","APA102","Badge_Parts:APA102",""
"U47","APA102","Badge_Parts:APA102",""
"U41","APA102","Badge_Parts:APA102",""
"U35","APA102","Badge_Parts:APA102",""
"U39","APA102","Badge_Parts:APA102",""
"U45","APA102","Badge_Parts:APA102",""
"U51","APA102","Badge_Parts:APA102",""
"U57","APA102","Badge_Parts:APA102",""
"U63","APA102","Badge_Parts:APA102",""
"U9","APA102","Badge_Parts:APA102",""
"U15","APA102","Badge_Parts:APA102",""
"U21","APA102","Badge_Parts:APA102",""
"U27","APA102","Badge_Parts:APA102",""
"U33","APA102","Badge_Parts:APA102",""
"U30","APA102","Badge_Parts:APA102",""
